toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1857.01,180652891,APC,13h18m25.76s,199.607344,+35d57m14.34s,35.953983,6.779,-1.198,2459663.219,0.7759895,1.135,2450,10.4239,5149.47,2359,9.2427,317.527,7218,3.94,2.26,2020-05-08 16:49,2022-07-20 12:03
1858.01,424733642,PC,13h17m39.02s,199.412592,+22d51m00.36s,22.850101,-25.718,3.186,2459691.122,2.0912089,1.144,20760,18.3695,126.014,933,12.8777,205.385,4220.9,4.49,0.77,2020-05-08 16:49,2022-09-08 10:10
1859.01,229742722,CP,18h39m19.62s,279.831764,+69d31m22.34s,69.522873,12.12,-12.156,2460503.687,63.4839358,5.457,5357,11.1495,23.786,615,9.93689,224.385,6415,4.26,1.4,2020-05-08 17:43,2024-11-14 10:08
186.01,279741379,CP,03h27m00.05s,51.750188,-63d30m00.6s,-63.500166,355.084,-247.46,2460202.211,35.6134391,3.512,1575,3.12194,10.8612,505,6.9934,16.32,4628.53,4.32239,0.71,2018-12-04 21:48,2023-11-03 10:08
186.02,279741379,CP,03h27m00.05s,51.750188,-63d30m00.6s,-63.500166,355.084,-247.46,2460201.825,7.7897726,2.376,194,1.00084,144.765,966,6.9934,16.32,4628.53,4.32239,0.71,2020-07-09 13:30,2023-11-15 16:02
1860.01,202426247,CP,15h05m49.62s,226.456731,+64d02m51.66s,64.047682,-122.326,110.588,2460367.148,1.0662082,1.142,151,1.0883,876.703,1515,7.7885,45.864,5668,4.51,0.93,2020-05-18 15:28,2024-05-08 10:08
1861.01,323295479,PC,08h43m12.03s,130.80013,-83d03m40.53s,-83.061258,41.562,-59.759,2458622.925,742.5142746,6.5744451,8486.405098,11.1888239,11.1474457,466.0296958,9.9486,135.758,5490,4.45,1.06113,2020-05-18 20:24,2025-04-22 12:03
1862.01,321668398,CP,17h37m03.12s,264.26302,+53d01m16.59s,53.021275,-4.289,7,2459768.447,5.6442112,2.980996,4136.201006,11.4462895,854.7074229,1379.031284,11.5429,527.995,6310,4.1,1.63591,2020-05-29 16:35,2023-07-05 12:02
1863.01,356919658,FP,18h14m19.37s,273.580728,+57d59m34.71s,57.992976,-4.935,20.049,2458683.899,1.42611,1.788,1890,9.21032,11388,2877,11.2542,383.432,6404,4.31,1.32,2020-05-29 16:35,2021-10-29 12:59
1864.01,229791084,KP,18h57m46.54s,284.443905,+69d34m15.01s,69.570837,-5.575,-3.373,2459766.544,1.6453265,2.59,19310,19.0536,1816.48,1818,12.2856,559.068,6023,4.25,1.32,2020-05-29 16:35,2022-10-05 10:10
1865.01,207425203,APC,16h11m40.65s,242.919358,+58d28m37.2s,58.477001,5.076,-10.072,2459742.664,1.2239134,1.037,1400,7.38849,861.54,1509,11.871,757.572,6618.5,3.99,1.92,2020-05-29 16:35,2022-10-05 10:10
1866.01,400430915,PC,19h41m31.73s,295.382219,+57d19m32.39s,57.325664,1.219,0.463,2459797.9,2.1863095,3.9576915,2983.552582,10.9791817,4908.301374,2134.777195,12.6557,1152.5,6728,4.03,1.92153,2020-05-29 16:35,2024-07-17 12:02
1867.01,400476523,FP,19h42m14.13s,295.558877,+59d35m20.86s,59.589129,-3.497,-0.633,2458700.974,18.10671,4.562,10340,19.3734,199.63,1047,12.2339,775.054,6615,4.14,1.65,2020-05-29 16:35,2021-10-29 12:59
1868.01,230087585,PC,16h28m30.15s,247.125627,+69d01m51.51s,69.030975,-2.096,14.467,2459940.409,8.8263579,3.4318591,5877.74804,12.1777996,381.1216482,1126.900714,12.6053,766.271,6016,4.1,1.56043,2020-05-29 16:35,2023-03-22 16:02
1869.01,299780329,PC,02h30m07.28s,37.530328,-79d45m23.62s,-79.75656,11.464,-12.791,2459362.743,1.6024387,1.0090014,1372.601691,5.5640916,2819.633849,1858.52295,10.9679,305.601,5435.9,4.2,1.39294,2020-05-29 16:35,2022-03-22 10:10
187.01,260304296,APC,06h18m27.73s,94.615541,-57d00m48.6s,-57.013501,-8.683,6.389,2459962.995,0.5125807,1.6430775,5691.192111,19.2342563,22324.20503,3117.552316,9.109901,184.529,6725,4.19532,1.55195,2018-10-19 23:49,2023-04-04 16:02
1870.01,230375747,PC,19h00m04.96s,285.020668,+63d25m47.39s,63.42983,-0.749,-1.828,2459694.209,2.7633917,3.5061663,12405.18733,16.4097207,1824.588018,1666.905403,12.8079,876.378,6511,4.25,1.43103,2020-05-29 16:35,2023-03-15 10:10
